Year,Month,tourists,revenue,Tavg,Tmax,Tmin,rain_days,hot_days,cold_days,CCI
2015,5,381.79,43.56,25.306451612903224,28.0,22.612903225806452,27,0,0,77.17336346443278
2015,6,339.58,39.23,27.916666666666668,31.3,24.533333333333335,14,3,0,55.63400485890819
2015,7,464.87,53.37,28.64516129032258,32.45161290322581,24.838709677419356,13,6,0,48.73782426526002
2015,8,480.77,54.8,26.741935483870968,30.322580645161292,23.161290322580644,17,2,0,65.58503281189915
2015,9,409.34,47.5,24.216666666666665,27.866666666666667,20.566666666666666,10,0,0,83.16535991537634
2015,10,462.98,52.81,20.467741935483872,24.451612903225808,16.483870967741936,12,0,0,72.92583831037075
2015,11,255.11,29.66,13.583333333333334,16.6,10.566666666666666,14,0,3,42.26937614415632
2015,12,516.21,72.55,10.5,13.161290322580646,7.838709677419355,13,0,3,21.978992115698514
2016,1,348.28,32.21,8.564516129032258,11.96774193548387,5.161290322580645,11,0,17,21.941638882893006
2016,2,385.76,43.13,12.0,15.586206896551724,8.413793103448276,14,0,7,34.84351843934119
2016,3,406.55,45.56,17.85483870967742,21.193548387096776,14.516129032258064,22,0,0,65.92272750580466
2016,4,441.77,50.06,22.466666666666665,26.2,18.733333333333334,23,0,0,86.30567427014249
2016,5,443.4,51.42,25.241935483870968,28.741935483870968,21.741935483870968,20,0,0,73.66334748483027
2016,6,311.93,49.09,29.066666666666666,32.63333333333333,25.5,15,12,0,45.15939709066607
2016,7,623.55,60.08,30.129032258064516,34.064516129032256,26.193548387096776,16,11,0,35.485498659671705
2016,8,529.03,61.92,28.419354838709676,32.12903225806452,24.70967741935484,9,7,0,51.88267646214044
2016,9,275.59,56.43,26.533333333333335,31.0,22.066666666666666,0,1,0,68.58134654548152
2016,10,705.43,62.48,20.532258064516128,24.225806451612904,16.838709677419356,10,0,0,74.26752266971867
2016,11,293.92,37.19,15.383333333333333,19.766666666666666,11.0,8,0,4,50.86311750322215
2016,12,620.66,87.8,12.241935483870968,15.161290322580646,9.32258064516129,13,0,3,29.514231221629192
2017,10,573.68,71.23,20.532258064516128,24.612903225806452,16.451612903225808,3,0,0,90.60664150583351
2017,11,365.08,45.81,13.366666666666667,16.333333333333332,10.4,11,0,0,35.555440210322466
2017,12,654.89,66.26,10.35483870967742,14.064516129032258,6.645161290322581,7,0,10,23.216517925190207
2018,1,894.56,101.72,8.758064516129032,12.193548387096774,5.32258064516129,9,0,14,20.709438120127363
2018,2,710.69,81.94,15.214285714285714,18.571428571428573,11.857142857142858,12,0,1,50.370509305846
2018,3,348.65,73.35,19.419354838709676,23.580645161290324,15.258064516129032,14,0,0,77.19099465278566
2018,4,920.88,101.6,22.433333333333334,25.733333333333334,19.133333333333333,20,0,0,86.59196686070136
2018,5,867.49,103.55,27.06451612903226,30.548387096774192,23.580645161290324,17,1,0,63.10051266031784
2018,6,1058.1,142.0,29.316666666666666,32.56666666666667,26.066666666666666,19,3,0,41.556128242058755
2018,7,987.74,124.32,29.70967741935484,33.58064516129032,25.838709677419356,17,9,0,38.91359474276772
2018,8,1044.1,132.18,28.822580645161292,32.45161290322581,25.193548387096776,11,9,0,47.98492005538772
2018,9,1164.95,151.54,25.15,29.233333333333334,21.066666666666666,7,3,0,74.42583177306756
2018,10,764.75,97.85,19.016129032258064,22.35483870967742,15.67741935483871,17,0,0,78.98071344481751
2018,11,614.96,77.73,12.95,15.966666666666667,9.933333333333334,19,0,7,41.95552208606978
2018,12,1538.46,203.97,8.241935483870968,10.774193548387096,5.709677419354839,20,0,14,19.67792829507702
2019,1,927.96,105.46,10.806451612903226,13.935483870967742,7.67741935483871,12,0,9,25.296312864729213
2019,2,929.07,111.46,10.875,13.571428571428571,8.178571428571429,21,0,6,25.63053810697193
2019,3,577.52,126.29,18.14516129032258,21.580645161290324,14.709677419354838,24,0,0,67.42379014266706
2019,4,1177.17,152.87,22.466666666666665,25.533333333333335,19.4,23,0,0,84.35587216852714
2019,5,1056.17,122.38,26.35483870967742,29.64516129032258,23.06451612903226,21,0,0,68.57348693381968
