raw_date,tmax,tmin,day_weather,night_weather,wind_dir,wind_power,Tmax,Tmin,Date,Year,Month,Quarter,Tavg,S_temp,S_weather,S_wind,CCI,SI,SI_score,CCI_owci,CCI_level,SI_level,OWCI_level,CCI_9ma,OWCI_9ma
46067,14 ℃,4 ℃,多云,多云,北风,微风,14.0,4.0,2011-02-03,2011,2,1,9.0,0.04956628350491174,0.95,1.0,19.22826096003121,11.700000000000001,35.57268722466959,45.57377933928238,4-较不舒适,5-最不舒适,3-正常,,
46068,7 ℃,4 ℃,小雨,小雨,北风,微风,7.0,4.0,2011-02-04,2011,2,1,5.5,0.007907054051593435,0.65,1.0,13.625373420710782,14.08,22.466960352422902,36.15556236247578,5-最不舒适,5-最不舒适,4-较不舒适,,
46069,6 ℃,4 ℃,小雨,小雨,北风,微风,6.0,4.0,2011-02-05,2011,2,1,5.0,0.00587072127573848,0.65,1.0,13.594865215684635,14.420000000000002,20.594713656387654,35.84893777907735,5-最不舒适,5-最不舒适,4-较不舒适,,
46070,13 ℃,5 ℃,阴,阴,北风,微风,13.0,5.0,2011-02-06,2011,2,1,9.0,0.04956628350491174,0.8,1.0,16.97034720772404,11.700000000000001,35.57268722466959,43.32384785469715,4-较不舒适,5-最不舒适,3-正常,,
46071,12 ℃,6 ℃,小雨,小雨,北风,微风,12.0,6.0,2011-02-07,2011,2,1,9.0,0.04956628350491174,0.65,1.0,14.703449113048848,11.700000000000001,35.57268722466959,41.07388941212021,5-最不舒适,5-最不舒适,3-正常,,
46072,11 ℃,7 ℃,小雨,小雨,北风,微风,11.0,7.0,2011-02-08,2011,2,1,9.0,0.04956628350491174,0.65,1.0,14.703449113048848,11.700000000000001,35.57268722466959,41.07391461823754,5-最不舒适,5-最不舒适,3-正常,,
46073,16 ℃,7 ℃,多云,多云,北风,微风,16.0,7.0,2011-02-09,2011,2,1,11.5,0.14085842092104503,0.95,1.0,23.356621817370897,10.0,44.93392070484582,53.89521210380816,4-较不舒适,4-较不舒适,3-正常,,
46074,18 ℃,10 ℃,多云,阴,北风,微风,18.0,10.0,2011-02-10,2011,2,1,14.0,0.32053052101554125,0.875,1.0,35.84537566175666,8.3,54.29515418502202,65.12476129824333,3-正常,4-较不舒适,3-正常,,
46075,14 ℃,11 ℃,小雨,小雨,南风,微风,14.0,11.0,2011-02-11,2011,2,1,12.5,0.2010011912257319,0.65,1.0,24.08379214744777,9.32,48.6784140969163,54.15267175956213,4-较不舒适,4-较不舒适,3-正常,,
46076,17 ℃,11 ℃,阴,小雨,南风,微风,17.0,11.0,2011-02-12,2011,2,1,14.0,0.32053052101554125,0.7250000000000001,1.0,34.763415380577065,8.3,54.29515418502202,63.774148259622464,3-正常,4-较不舒适,3-正常,,
46077,16 ℃,12 ℃,小雨,多云,南风,微风,16.0,12.0,2011-02-13,2011,2,1,14.0,0.32053052101554125,0.8,1.0,35.29454790495885,8.3,54.29515418502202,64.9005028843477,3-正常,4-较不舒适,3-正常,,
46078,22 ℃,14 ℃,阴,多云,南风,微风,22.0,14.0,2011-02-14,2011,2,1,18.0,0.7524321560893033,0.875,1.0,75.76377023392166,5.58,69.27312775330397,83.3911244574538,2-较舒适,3-正常,2-较舒适,,
46079,24 ℃,15 ℃,多云,多云,南风,微风,24.0,15.0,2011-02-15,2011,2,1,19.5,0.8948393168143698,0.95,1.0,89.69809730479176,4.5600000000000005,74.88986784140968,87.2678354713132,2-较舒适,3-正常,1-最舒适,,
46080,25 ℃,19 ℃,多云,多云,南风,微风,25.0,19.0,2011-02-16,2011,2,1,22.0,1.0,0.95,1.0,98.84268252047063,2.8600000000000003,84.2511013215859,86.82779444549203,1-最舒适,2-较舒适,1-最舒适,,
46081,14 ℃,9 ℃,阴,小雨,南风,微风,14.0,9.0,2011-02-17,2011,2,1,11.5,0.14085842092104503,0.7250000000000001,1.0,20.51835989841127,10.0,44.93392070484582,50.52090502851123,4-较不舒适,4-较不舒适,3-正常,,
46082,8 ℃,5 ℃,阴,阴,北风,微风,8.0,5.0,2011-02-18,2011,2,1,6.5,0.013966256466258136,0.8,1.0,16.041929869007124,13.4,26.211453744493397,39.246081048254844,5-最不舒适,5-最不舒适,4-较不舒适,,
46083,13 ℃,6 ℃,晴,多云,北风,微风,13.0,6.0,2011-02-19,2011,2,1,9.5,0.06217652402211629,0.975,1.0,20.016612088037714,11.360000000000001,37.444933920704834,47.22327775676965,4-较不舒适,4-较不舒适,3-正常,,
46084,9 ℃,6 ℃,小雨,小雨,北风,微风,9.0,6.0,2011-02-20,2011,2,1,7.5,0.023806948722728996,0.65,1.0,13.935223177885659,12.72,29.95594713656388,38.22879528679198,5-最不舒适,5-最不舒适,4-较不舒适,,
46085,11 ℃,6 ℃,多云,小雨,北风,微风,11.0,6.0,2011-02-21,2011,2,1,8.5,0.039163895098987066,0.8,1.0,16.646321540868197,12.040000000000001,33.70044052863436,42.22226997263773,5-最不舒适,5-最不舒适,3-正常,,
46086,9 ℃,6 ℃,小雨,小雨,北风,微风,9.0,6.0,2011-02-22,2011,2,1,7.5,0.023806948722728996,0.65,1.0,13.935223177885659,12.72,29.95594713656388,38.22879528679198,5-最不舒适,5-最不舒适,4-较不舒适,,
46087,10 ℃,6 ℃,中雨,小雨,北风,微风,10.0,6.0,2011-02-23,2011,2,1,8.0,0.030670793026394055,0.55,1.0,12.6056360326438,12.38,31.828193832599112,37.5289850155724,5-最不舒适,5-最不舒适,4-较不舒适,,
46088,15 ℃,8 ℃,多云,多云,北风,微风,15.0,8.0,2011-02-24,2011,2,1,11.5,0.14085842092104503,0.95,1.0,23.356621817370897,10.0,44.93392070484582,53.89564341355093,4-较不舒适,4-较不舒适,3-正常,,
46089,14 ℃,8 ℃,多云,阴,北风,微风,14.0,8.0,2011-02-25,2011,2,1,11.0,0.1163548028087039,0.875,1.0,21.00298710661384,10.34,43.06167400881057,50.70133692140122,4-较不舒适,4-较不舒适,3-正常,,
46090,13 ℃,9 ℃,小雨,小雨,南风,微风,13.0,9.0,2011-02-26,2011,2,1,11.0,0.1163548028087039,0.65,1.0,18.02962399486636,10.34,43.06167400881057,47.326473180573814,4-较不舒适,4-较不舒适,3-正常,,
46091,12 ℃,10 ℃,小雨,小雨,北风,微风,12.0,10.0,2011-02-27,2011,2,1,11.0,0.1163548028087039,0.65,1.0,18.02962399486636,10.34,43.06167400881057,47.32655582737819,4-较不舒适,4-较不舒适,3-正常,,
46092,14 ℃,9 ℃,小雨,小雨,北风,微风,14.0,9.0,2011-02-28,2011,2,1,11.5,0.14085842092104503,0.65,1.0,19.62285248638106,10.0,44.93392070484582,49.39590502851124,4-较不舒适,4-较不舒适,3-正常,,
46093,17 ℃,11 ℃,小雨,小雨,北风,微风,17.0,11.0,2011-03-01,2011,3,1,14.0,0.32053052101554125,0.65,1.0,34.257077345270815,8.3,54.29515418502202,62.649148259622464,3-正常,4-较不舒适,3-正常,,
46094,18 ℃,13 ℃,阵雨,阴,南风,微风,18.0,13.0,2011-03-02,2011,3,1,15.5,0.47184199249207454,0.7,1.0,48.42263375898713,7.28,59.91189427312775,71.99589638466006,3-正常,3-正常,2-较舒适,,
46095,18 ℃,7 ℃,小雨,中到大雨,南风,微风,18.0,7.0,2011-03-03,2011,3,1,12.5,0.2010011912257319,0.45,1.0,22.39455690897324,9.32,48.6784140969163,50.25210505470652,4-较不舒适,4-较不舒适,3-正常,,
46096,9 ℃,5 ℃,小雨,阴,北风,微风,9.0,5.0,2011-03-04,2011,3,1,7.0,0.01831563888873418,0.7250000000000001,1.0,14.969908469659895,13.06,28.08370044052863,38.68123100003109,5-最不舒适,5-最不舒适,4-较不舒适,,
46097,9 ℃,5 ℃,小雨,小雨,北风,微风,9.0,5.0,2011-03-05,2011,3,1,7.0,0.01831563888873418,0.65,1.0,13.813841758833911,13.06,28.08370044052863,37.55623100003109,5-最不舒适,5-最不舒适,4-较不舒适,,
46098,13 ℃,6 ℃,小雨,小雨,北风,微风,13.0,6.0,2011-03-06,2011,3,1,9.5,0.06217652402211629,0.65,1.0,15.194002078781551,11.360000000000001,37.444933920704834,42.34827775676965,5-最不舒适,4-较不舒适,3-正常,,
46099,10 ℃,7 ℃,小雨,小雨,北风,微风,10.0,7.0,2011-03-07,2011,3,1,8.5,0.039163895098987066,0.65,1.0,14.354381277623574,12.040000000000001,33.70044052863436,39.972282597737404,5-最不舒适,5-最不舒适,4-较不舒适,,
46100,14 ℃,9 ℃,阴,阵雨,北风,微风,14.0,9.0,2011-03-08,2011,3,1,11.5,0.14085842092104503,0.7,1.0,20.215491833814436,10.0,44.93392070484582,50.14590502851123,4-较不舒适,4-较不舒适,3-正常,,
46101,18 ℃,11 ℃,小雨,多云,南风,微风,18.0,11.0,2011-03-09,2011,3,1,14.5,0.36787944117144233,0.8,1.0,39.45283093604476,7.960000000000001,56.16740088105727,67.10277361212002,3-正常,4-较不舒适,3-正常,,
46102,15 ℃,9 ℃,小到中雨,小到中雨,北风,微风,15.0,9.0,2011-03-10,2011,3,1,12.0,0.1690133154060661,0.45,1.0,19.732082540314284,9.66,46.80616740088106,48.67300879821812,4-较不舒适,4-较不舒适,3-正常,,
46103,10 ℃,7 ℃,小雨,小雨,北风,微风,10.0,7.0,2011-03-11,2011,3,1,8.5,0.039163895098987066,0.65,1.0,14.354381277623574,12.040000000000001,33.70044052863436,39.972282597737404,5-最不舒适,5-最不舒适,4-较不舒适,,
46104,11 ℃,7 ℃,小雨,阴,北风,微风,11.0,7.0,2011-03-12,2011,3,1,9.0,0.04956628350491174,0.7250000000000001,1.0,15.832748585391132,11.700000000000001,35.57268722466959,42.198914618237545,5-最不舒适,5-最不舒适,3-正常,,
